Job Title,Job Salary,Key Skills,Role Category,Functional Area,Industry,Role
Machine Learning Trainer,Not Disclosed by Recruiter,training python technical_skills corporate_trainer it_trainer machine_learning technical_trainer,Other,IT_Software,Education Teaching Training,Trainer/Faculty
Requirement for Data Science Data Analyst Noida year Experience,"3,00,000-6,00,000",python django machine_learning sql data_science predictive_analytics statistical_analysis data_extraction data_cleansing linear_regression logistic_regression data_mining,Programming_&_Design,IT_Software,BPO Call_Centre ITeS,Software Developer
Software Programmer NET ,Not Disclosed by Recruiter,development vbscript system_analysis net_c_net ms_sql_server c_net net_vb_net asp_net programmer,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Deputy General Manager General Manager HR Analytics Iim xlri,Not Disclosed by Recruiter,hr_analytics analytics data_analytics statistics,Senior_Management,Analytics_&_Business_Intelligence,KPO Research Analytics,Head/VP/GM - Analytics & BI
Oracle Apps Technical Consultant,Not Disclosed by Recruiter,xml oracle_financials outbound business_executive oracle_apps_technical oracle_development managing_director,Programming_&_Design,IT_Software,Strategy Management_Consulting_Firms,Outside Technical Consultant
Craft play Facilitator for Children Aundh Baner Pune,"2,50,000-3,25,000",craft teaching music creative child_development art nursery learning dancing day_care startup,Teachers,Teaching Education Training Counselling,Education Teaching Training,DaycareTeacher / Incharge / Attendant
AMTS MTS,Not Disclosed by Recruiter,unix verilog perl cvs vhdl dft simulation tools test_planning test_cases,Programming_&_Design,IT_Software,Recruitment Staffing,Testing Engineer
Special Educators SEN ,Not Disclosed by Recruiter,teaching teacher special_educators sen,Teachers,Teaching Education Training Counselling,Education Teaching Training,Special Education Teacher
Senior Electrical Design Engineer,"2,75,000-4,50,000",design_engineering electrical_design_engineer electrical_design,Engineering_Design,Engineering_Design R&D,Oil_and_Gas Energy Power Infrastructure,Senior Design Engineer
Hiring for SQA Executive,Not Disclosed by Recruiter,sqa compliance internal_audit iso_27001 soc pci_dss grc cmmi,Quality,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Quality Assurance/Quality Control Executive
Senior Software Engineer,Not Disclosed by Recruiter,computer_science basic usage programming data_structures cryptography monitoring testing,Programming_&_Design,IT_Software,Banking Financial_Services Broking,Software Developer
Transport Coordinator Sanand,"50,000-1,25,000",transportation mis_reporting vendor_coordination transport_management transport_management_system transport_executive fleet_management,Logistics,Supply_Chain Logistics Purchase Materials,Courier Transportation Freight Warehousing,Transport/Distribution Manager
SAP PI Consultant,Not Disclosed by Recruiter,design_development techno_functional sap_hana sap_pi,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Captain Sr Steward steward Sr Gsa gsa F B Associate waiter host,"1,50,000-2,50,000",steward waiter host gre restaurant food beverage,Food_&_Beverage,Hotels Restaurants,Travel Hotels Restaurants Airlines Railways,Steward
Looking for physical design engineer for Bangalore Hyderabad location,Not Disclosed by Recruiter,cts rtl2gdsii iccicc2_/_soc icc_icc2_/_soc icc soc sta,Engineering_Design,Engineering_Design R&D,Semiconductors Electronics,Design Engineer
Lead Automation Quality Assurance Engineer Selenium appium,Not Disclosed by Recruiter,jenkins test_automation software_quality_assurance api_testing appium selenium testing scripting,Programming_&_Design,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
RF Planner,Not Disclosed by Recruiter,3g 2g 4g atoll ran drive_test rf_planning netact networking network_planning 2g_/_3g 4g_ran radio_network_planning netact_multiradio_planner oss radio_design,Telecom,IT_Hardware Technical_Support Telecom_Engineering,Telecom ISP,RF Engineer
TOOLING DESIGNING Engineer,Not Disclosed by Recruiter,purchase prototype project_management estimator cad management troubleshooting cost,Engineering_Design,Engineering_Design R&D,Construction Engineering Cement Metals,Design Engineer
C C Developer,"3,00,000-8,00,000",c++ c algorithms data_structures compilers,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Java Developer,"3,00,000-5,50,000",javascript spring java jsp html css hibernate struts ajax mvc_architecture,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
VPN RSA Allianz Technology,Not Disclosed by Recruiter,rsa citrix checkpoint checkpoint_firewall netscaler vpn,Programming_&_Design,IT_Software,IT-Software Software_Services,System Analyst
